MAP Output File.
Outputs were generated using MAP v1.0 on <2013-07-17.12:24:47>

Time           X[3]           X[4]           HX[4]          X[5]           HX[5]          
[s]            [m]            [m]            [N]            [m]            [N]            
0              -55.458        -10.000        7608684.057    -10.000        7608684.057    
0.5            -55.458        -10.000        7608684.057    -10.000        7608684.057    
1              -55.458        -10.000        7608684.057    -10.000        7608684.057    
1.5            -55.458        -10.000        7608684.057    -10.000        7608684.057    
2              -55.458        -10.000        7608684.057    -10.000        7608684.057    
2.5            -55.458        -10.000        7608684.057    -10.000        7608684.057    
3              -55.458        -10.000        7608684.057    -10.000        7608684.057    
3.5            -55.458        -10.000        7608684.057    -10.000        7608684.057    
4              -55.458        -10.000        7608684.057    -10.000        7608684.057    
4.5            -55.458        -10.000        7608684.057    -10.000        7608684.057    


MAP successfully terminated
