138	213	97	2	1		
1	10.1	10.1	-40			
2	-10.1	10.1	-40			
3	-10.1	-10.1	-40			
4	10.1	-10.1	-40			
5	10.1	10.1	-36			
6	-10.1	10.1	-36			
7	-10.1	-10.1	-36			
8	10.1	-10.1	-36			
9	0	9.419551	-29.195509			
10	-9.419551	0	-29.195509			
11	0	-9.419551	-29.195509			
12	9.419551	0	-29.195509			
13	8.825	8.825	-23.25			
14	-8.825	8.825	-23.25			
15	-8.825	-8.825	-23.25			
16	8.825	-8.825	-23.25			
17	0	8.137863	-16.378626			
18	-8.137863	0	-16.378626			
19	0	-8.137863	-16.378626			
20	8.137863	0	-16.378626			
21	7.55	7.55	-10.5			
22	-7.55	7.55	-10.5			
23	-7.55	-7.55	-10.5			
24	7.55	-7.55	-10.5			
25	0	6.853707	-3.537071			
26	-6.853707	0	-3.537071			
27	0	-6.853707	-3.537071			
28	6.853707	0	-3.537071			
29	6.275	6.275	2.25			
30	-6.275	6.275	2.25			
31	-6.275	-6.275	2.25			
32	6.275	-6.275	2.25			
33	0	5.56541	9.345898			
34	-5.56541	0	9.345898			
35	0	-5.56541	9.345898			
36	5.56541	0	9.345898			
37	5	5	15			
38	-5	5	15			
39	-5	-5	15			
40	5	-5	15			
41	0	0	19			
42	0	0	19.86666667			
43	0	0	20.73333333			
44	0	0	21.6			
45	0	0	22.46666667			
46	0	0	23.33333333			
47	0	0	24.2			
48	0	0	25.06666667			
49	0	0	25.93333333			
50	0	0	26.8			
51	0	0	27.66666667			
52	0	0	28.53333333			
53	0	0	29.4			
54	0	0	30.26666667			
55	0	0	31.13333333			
56	0	0	32			
57	0	0	32.86666667			
58	0	0	33.73333333			
59	0	0	34.6			
60	0	0	35.46666667			
61	0	0	36.33333333			
62	0	0	37.2			
63	0	0	38.06666667			
64	0	0	38.93333333			
65	0	0	39.8			
66	0	0	40.66666667			
67	0	0	41.53333333			
68	0	0	42.4			
69	0	0	43.26666667			
70	0	0	44.13333333			
71	0	0	45			
72	0	0	45.86666667			
73	0	0	46.73333333			
74	0	0	47.6			
75	0	0	48.46666667			
76	0	0	49.33333333			
77	0	0	50.2			
78	0	0	51.06666667			
79	0	0	51.93333333			
80	0	0	52.8			
81	0	0	53.66666667			
82	0	0	54.53333333			
83	0	0	55.4			
84	0	0	56.26666667			
85	0	0	57.13333333			
86	0	0	58			
87	0	0	58.86666667			
88	0	0	59.73333333			
89	0	0	60.6			
90	0	0	61.46666667			
91	0	0	62.33333333			
92	0	0	63.2			
93	0	0	64.06666667			
94	0	0	64.93333333			
95	0	0	65.8			
96	0	0	66.66666667			
97	0	0	67.53333333			
98	0	0	68.4			
99	0	0	69.26666667			
100	0	0	70.13333333			
101	0	0	71			
102	0	0	71.86666667			
103	0	0	72.73333333			
104	0	0	73.6			
105	0	0	74.46666667			
106	0	0	75.33333333			
107	0	0	76.2			
108	0	0	77.06666667			
109	0	0	77.93333333			
110	0	0	78.8			
111	0	0	79.66666667			
112	0	0	80.53333333			
113	0	0	81.4			
114	0	0	82.26666667			
115	0	0	83.13333333			
116	0	0	84			
117	0	0	84.86666667			
118	0	0	85.73333333			
119	0	0	86.6			
120	0	0	87.46666667			
121	0	0	88.33333333			
122	0	0	89.2			
123	0	0	90.06666667			
124	0	0	90.93333333			
125	0	0	91.8			
126	0	0	92.66666667			
127	0	0	93.53333333			
128	0	0	94.4			
129	0	0	95.26666667			
130	0	0	96.13333333			
131	0	0	97			
132	0	0	99.34			
133	5	5	19			
134	-5	5	19			
135	-5	-5	19			
136	5	-5	19			
137	0	0	15			
138	0	0	17			
1	1	5	1	1		
2	2	6	1	1		
3	3	7	1	1		
4	4	8	1	1		
5	5	13	2	2		
6	6	14	2	2		
7	7	15	2	2		
8	8	16	2	2		
9	9	5	3	3		
10	9	14	3	3		
11	9	13	3	3		
12	9	6	3	3		
13	10	6	3	3		
14	10	15	3	3		
15	10	14	3	3		
16	10	7	3	3		
17	11	7	3	3		
18	11	16	3	3		
19	11	15	3	3		
20	11	8	3	3		
21	12	13	3	3		
22	12	16	3	3		
23	12	8	3	3		
24	12	5	3	3		
25	5	6	3	3		
26	6	7	3	3		
27	7	8	3	3		
28	8	5	3	3		
29	13	21	2	2		
30	14	22	2	2		
31	15	23	2	2		
32	16	24	2	2		
33	17	13	3	3		
34	17	22	3	3		
35	17	21	3	3		
36	17	14	3	3		
37	18	14	3	3		
38	18	23	3	3		
39	18	22	3	3		
40	18	15	3	3		
41	19	15	3	3		
42	19	24	3	3		
43	19	23	3	3		
44	19	16	3	3		
45	20	21	3	3		
46	20	24	3	3		
47	20	16	3	3		
48	20	13	3	3		
49	13	14	3	3		
50	14	15	3	3		
51	15	16	3	3		
52	16	13	3	3		
53	21	29	2	2		
54	22	30	2	2		
55	23	31	2	2		
56	24	32	2	2		
57	25	21	3	3		
58	25	30	3	3		
59	25	29	3	3		
60	25	22	3	3		
61	26	22	3	3		
62	26	31	3	3		
63	26	30	3	3		
64	26	23	3	3		
65	27	23	3	3		
66	27	32	3	3		
67	27	31	3	3		
68	27	24	3	3		
69	28	29	3	3		
70	28	32	3	3		
71	28	24	3	3		
72	28	21	3	3		
73	21	22	3	3		
74	22	23	3	3		
75	23	24	3	3		
76	24	21	3	3		
77	29	37	2	2		
78	30	38	2	2		
79	31	39	2	2		
80	32	40	2	2		
81	33	29	3	3		
82	33	38	3	3		
83	33	37	3	3		
84	33	30	3	3		
85	34	30	3	3		
86	34	39	3	3		
87	34	38	3	3		
88	34	31	3	3		
89	35	31	3	3		
90	35	40	3	3		
