9	8	9	0	0	
1	0	0	88.15		
2	0	0	83.15		
3	0	0	74.15		
4	0	0	64.15		
5	0	0	54.15		
6	0	0	42.15		
7	0	0	32.15		
8	0	0	21.15		
9	0	0	20.15		
1	1	2	9	8	
2	2	3	8	7	
3	3	4	7	6	
4	4	5	6	5	
5	5	6	5	4	
6	6	7	4	3	
7	7	8	3	2	
8	8	9	2	1	
1	2.10E+11	8.08E+10	8.50E+03	5.6	0.032
2	2.10E+11	8.08E+10	8.50E+03	5.577	0.032
3	2.10E+11	8.08E+10	8.50E+03	5.318	0.03
4	2.10E+11	8.08E+10	8.50E+03	5.082	0.028
5	2.10E+11	8.08E+10	8.50E+03	4.8	0.024
6	2.10E+11	8.08E+10	8.50E+03	4.565	0.022
7	2.10E+11	8.08E+10	8.50E+03	4.329	0.02
8	2.10E+11	8.08E+10	8.50E+03	4.118	0.03
9	2.10E+11	8.08E+10	8.50E+03	4	0.03
